country,total_co2,co2_per_capita,total_methane,methane_per_capita
Iraq,174.56 m t,4.24 t,134.69 m t,3.27 t
Norway,35.95 m t,6.65 t,4.54 m t,0.84 t
Bulgaria,39.14 m t,5.67 t,6.84 m t,0.99 t
Greece,60.00 m t,5.63 t,9.34 m t,0.88 t
Argentina,168.10 m t,3.67 t,128.80 m t,2.81 t
Denmark,29.70 m t,5.07 t,7.78 m t,1.33 t
Hong Kong,43.64 m t,5.89 t,3.15 m t,0.42 t
Italy,317.24 m t,5.37 t,44.35 m t,0.75 t
United Kingdom,348.92 m t,5.18 t,50.11 m t,0.74 t
Algeria,171.25 m t,3.84 t,92.34 m t,2.07 t
Spain,239.98 m t,5.07 t,39.28 m t,0.83 t
Iceland,1.64 m t,4.41 t,"529,999.97 t",1.42 t
Hungary,46.38 m t,4.78 t,7.00 m t,0.72 t
Montenegro,2.60 m t,4.19 t,"779,999.97 t",1.26 t
Portugal,44.64 m t,4.33 t,11.35 m t,1.10 t
Chile,91.37 m t,4.76 t,11.59 m t,0.60 t
France,300.52 m t,4.45 t,59.66 m t,0.88 t
Turkey,396.84 m t,4.67 t,48.52 m t,0.57 t
Croatia,16.52 m t,4.24 t,3.68 m t,0.94 t
Switzerland,37.38 m t,4.30 t,5.04 m t,0.58 t
Mauritius,4.17 m t,3.29 t,1.95 m t,1.54 t
Thailand,267.09 m t,3.82 t,70.19 m t,1.00 t
Romania,73.95 m t,3.87 t,16.76 m t,0.88 t
Ukraine,174.73 m t,3.99 t,32.68 m t,0.75 t
Mexico,449.27 m t,3.45 t,138.80 m t,1.07 t
Bolivia,22.34 m t,1.89 t,28.36 m t,2.40 t
Vietnam,336.49 m t,3.43 t,80.48 m t,0.82 t
Timor-Leste,"620,000.00 t",0.46 t,5.01 m t,3.73 t
Georgia,10.11 m t,2.73 t,5.19 m t,1.40 t
Brazil,434.30 m t,2.03 t,431.07 m t,2.01 t
Sweden,35.00 m t,3.36 t,4.77 m t,0.46 t
Ecuador,39.29 m t,2.20 t,27.17 m t,1.52 t
Malta,1.66 m t,3.21 t,"220,000.00 t",0.43 t
Macao,2.07 m t,3.14 t,"150,575.46 t",0.23 t
Indonesia,619.84 m t,2.24 t,280.95 m t,1.02 t
Chad,2.25 m t,0.13 t,52.72 m t,3.12 t
Egypt,249.37 m t,2.39 t,75.13 m t,0.72 t
Colombia,81.04 m t,1.58 t,76.84 m t,1.50 t
Albania,4.83 m t,1.72 t,2.85 m t,1.01 t
Costa Rica,8.24 m t,1.60 t,4.69 m t,0.91 t
Morocco,71.48 m t,1.91 t,12.16 m t,0.33 t
India,2.46 bn t,1.76 t,656.65 m t,0.47 t
Cambodia,16.18 m t,0.95 t,18.20 m t,1.07 t
Burma,36.72 m t,0.67 t,73.05 m t,1.33 t
Philippines,145.42 m t,1.31 t,64.73 m t,0.58 t
Sudan,20.62 m t,0.46 t,55.38 m t,1.23 t
Zimbabwe,11.76 m t,0.78 t,12.55 m t,0.83 t
Pakistan,190.57 m t,0.85 t,162.76 m t,0.72 t
Sri Lanka,23.78 m t,1.07 t,8.22 m t,0.37 t
Nepal,13.45 m t,0.45 t,23.55 m t,0.79 t
Nigeria,115.28 m t,0.55 t,135.84 m t,0.64 t
Bangladesh,90.74 m t,0.55 t,92.65 m t,0.56 t
Kenya,22.28 m t,0.41 t,36.84 m t,0.67 t
Ghana,20.04 m t,0.63 t,10.90 m t,0.34 t
Cameroon,9.43 m t,0.35 t,15.55 m t,0.57 t
Ethiopia,18.36 m t,0.16 t,84.14 m t,0.71 t
Haiti,3.32 m t,0.29 t,5.28 m t,0.46 t
Ivory Coast,10.83 m t,0.40 t,7.23 m t,0.27 t
Afghanistan,6.08 m t,0.15 t,16.37 m t,0.41 t
Congo (Dem. Republic),3.21 m t,0.03 t,34.93 m t,0.38 t
Liberia,1.18 m t,0.23 t,"370,000.00 t",0.07 t
Malawi,1.45 m t,0.07 t,3.95 m t,0.20 t
Rwanda,1.33 m t,0.10 t,1.88 m t,0.14 t
Burundi,"720,000.00 t",0.06 t,1.35 m t,0.11 t
