,X,Y
198,76,45
199,695,149
200,286,18
201,141,69
202,592,44
203,549,152
204,296,77
205,242,129
206,461,138
207,205,123
208,148,24
209,238,164
210,546,64
211,75,82
212,3,146
213,557,34
214,334,138
215,149,18
216,476,132
217,60,77
218,144,149
219,495,145
220,241,57
221,607,15
222,183,163
223,16,179
224,29,195
225,201,70
226,331,88
227,54,25
228,613,173
229,612,101
230,21,196
231,31,69
232,383,174
233,577,102
234,504,18
235,386,180
236,527,198
237,362,46
238,73,167
239,133,116
240,255,120
241,489,33
242,16,75
243,371,55
244,168,138
245,661,188
246,307,26
247,493,98
248,581,85
249,400,17
250,85,29
251,281,20
252,72,54
253,264,45
254,55,89
255,320,97
256,2,161
257,323,133
258,49,178
259,231,47
260,130,21
261,44,165
262,413,120
263,681,40
264,213,108
265,606,109
266,96,182
267,115,97
268,290,27
269,459,90
270,345,58
271,383,18
272,60,55
273,624,24
274,16,160
275,334,68
276,332,24
277,288,198
278,627,77
279,52,136
280,44,57
281,473,29
282,319,137
283,61,152
284,666,58
285,131,177
286,101,22
287,549,187
288,609,91
289,475,39
290,615,170
291,247,148
292,311,123
293,111,137
294,499,161
295,573,92
296,538,60
297,171,157
298,52,24
299,167,55
300,549,119
301,23,147
302,78,21
303,539,123
304,334,167
305,37,36
306,4,134
307,336,114
308,479,80
309,498,109
310,511,51
311,303,110
312,570,130
313,458,151
314,150,117
315,543,35
316,419,190
317,687,146
318,273,98
319,683,56
320,624,56
321,138,136
322,510,84
323,289,15
324,93,24
325,583,65
326,95,82
327,112,164
328,264,138
329,484,147
330,7,140
331,139,104
332,550,68
333,344,15
334,65,21
335,103,19
336,96,52
337,116,196
338,2,53
339,658,123
340,349,162
341,178,128
342,124,64
343,556,173
344,186,93
345,303,190
346,95,82
347,359,105
348,68,74
349,371,190
350,337,149
351,395,61
352,20,18
353,405,190
354,400,114
355,1,29
356,434,163
357,539,152
358,574,88
359,577,125
360,377,42
361,58,16
362,688,110
363,119,17
364,53,70
365,560,91
366,50,161
367,174,25
368,257,152
369,438,92
370,564,60
371,206,191
372,332,93
373,642,21
374,487,141
375,36,144
376,110,87
377,569,163
378,492,146
379,645,75
380,210,38
381,383,56
382,496,182
383,331,55
384,277,113
385,46,27
386,87,39
387,166,19
388,49,116
389,244,148
390,195,121
391,421,174
392,366,124
393,344,115
394,379,53
395,151,45
396,278,131
397,485,62
398,537,152
399,258,81
400,272,66
401,444,164
402,255,98
403,154,96
404,65,56
405,31,67
406,107,142
407,461,78
408,6,194
409,631,198
410,428,84
411,338,98
412,96,167
413,202,93
414,181,141
415,573,117
416,68,71
417,684,15
418,286,67
419,357,124
420,107,165
421,526,168
422,173,173
423,420,126
424,12,188
425,419,22
426,561,134
427,27,116
428,5,32
429,54,117
430,553,151
431,152,103
432,338,134
433,599,140
434,504,36
435,520,40
436,203,113
437,16,186
438,445,192
439,675,36
440,295,157
441,286,29
442,19,191
443,204,50
444,315,80
445,190,194
446,504,98
447,242,185
448,399,23
449,680,128
450,312,167
451,274,41
452,550,128
453,302,72
454,126,197
455,107,156
456,72,140
457,586,186
458,368,118
459,14,50
460,47,144
461,50,45
462,649,53
463,470,50
464,594,134
465,125,91
466,147,160
467,523,151
468,280,154
469,359,149
470,276,183
471,491,23
472,514,75
473,487,19
474,557,157
475,360,197
476,49,115
477,114,39
478,161,93
479,14,46
480,33,130
481,41,38
482,269,160
483,306,144
484,538,193
485,193,128
486,105,59
487,634,70
488,97,160
489,440,100
490,272,66
491,209,121
492,266,63
493,285,89
494,63,143
495,597,126
496,140,84
497,323,162
498,600,167
499,196,144
500,596,129
501,515,23
502,128,91
503,272,44
504,475,122
505,92,122
506,89,71
507,439,55
508,662,123
509,17,48
510,128,113
511,113,174
512,79,190
513,7,42
514,699,22
515,633,48
516,585,184
517,192,119
518,377,105
519,359,160
520,455,194
521,551,86
522,211,159
523,602,191
524,693,198
525,502,35
526,614,156
527,584,133
528,333,93
529,251,117
530,324,136
531,647,98
532,214,92
533,480,33
534,45,154
535,226,119
536,495,136
537,140,35
538,313,111
539,114,123
540,232,151
541,420,95
542,281,165
543,406,24
544,674,171
545,228,42
546,350,154
547,335,89
548,633,184
549,190,151
550,276,127
551,694,54
552,385,145
553,334,174
554,411,105
555,653,33
556,501,129
557,252,26
558,255,113
559,398,195
560,514,165
561,152,133
562,417,199
563,538,140
564,181,184
565,78,138
566,63,138
567,353,145
568,3,140
569,167,123
570,183,59
571,257,196
572,368,18
573,14,94
574,454,112
575,149,145
576,39,39
577,171,184
578,476,56
579,390,155
580,537,142
581,11,147
582,486,125
583,607,34
584,646,182
585,97,106
586,275,103
587,624,147
588,379,187
589,153,45
590,245,37
591,380,92
592,696,49
593,562,160
594,281,180
595,354,79
596,686,22
597,186,142
598,248,21
599,27,117
600,512,78
601,406,46
602,148,136
603,636,181
604,99,188
605,318,89
606,681,115
607,195,23
608,203,82
609,678,111
610,281,16
611,291,42
612,461,37
613,337,43
614,402,76
615,257,159
616,550,102
617,320,36
618,514,96
619,504,112
620,600,193
621,94,153
622,482,191
623,66,133
624,16,88
625,513,21
626,114,142
627,593,123
628,62,60
629,511,96
630,676,21
631,122,85
632,675,165
633,2,22
634,326,142
635,625,31
636,491,122
637,364,29
638,316,77
639,473,133
640,280,89
641,627,112
642,264,51
643,233,167
644,144,91
645,285,139
646,661,30
647,146,43
648,412,144
649,199,26
650,450,64
651,160,144
652,425,117
653,549,47
654,402,68
655,364,52
656,599,73
657,51,173
658,152,21
659,294,132
660,116,93
661,326,77
662,586,150
663,249,51
664,545,188
665,400,179
666,423,21
667,507,100
668,691,113
669,667,63
670,156,158
671,275,51
672,589,65
673,603,98
674,103,15
675,18,22
676,319,128
677,678,65
678,683,92
679,514,98
680,619,96
681,438,66
682,671,109
683,377,29
684,246,126
685,587,165
686,111,17
687,148,171
688,65,111
689,500,123
690,294,98
691,348,155
692,221,95
693,459,47
694,88,102
695,177,175
696,25,166
697,19,108
698,224,55
699,195,75
700,162,41
701,620,145
702,637,169
703,280,84
704,33,75
705,44,131
706,293,54
707,31,113
708,646,70
709,656,127
710,468,54
711,14,146
712,24,63
713,382,138
714,399,34
715,501,174
716,550,30
717,688,183
718,644,136
719,100,58
720,501,154
721,277,127
722,667,81
723,539,196
724,421,45
725,125,195
726,160,80
727,339,199
728,537,93
729,671,193
730,301,44
731,113,170
732,432,57
733,285,47
734,308,130
735,220,89
736,435,97
737,398,27
738,279,63
739,327,122
740,310,55
741,619,136
742,301,168
743,356,185
744,385,162
745,388,40
746,26,81
747,30,67
748,622,49
749,77,62
750,557,95
751,638,99
752,125,50
753,362,129
754,680,97
755,651,115
756,616,152
757,336,92
758,337,75
759,293,154
760,15,179
761,415,19
762,239,180
763,131,180
764,680,112
765,329,111
766,629,99
767,280,73
768,483,41
769,35,28
770,314,68
771,266,53
772,329,170
773,421,162
774,425,89
775,598,177
776,130,49
777,168,118
778,459,20
779,28,24
780,434,38
781,419,53
782,123,28
783,219,69
784,697,93
785,351,32
786,514,63
787,425,41
788,664,136
789,647,62
790,280,162
791,88,62
792,605,134
793,565,76
794,281,62
795,238,15
796,521,139
797,553,89
798,59,68
799,34,139
800,670,178
801,256,142
802,315,67
803,421,129
804,54,53
805,113,35
806,131,37
807,667,183
808,527,65
809,64,56
810,60,123
811,152,128
812,244,158
813,338,162
814,553,58
815,144,28
816,383,191
817,354,65
818,565,63
819,364,176
820,411,96
821,580,71
822,389,150
823,38,169
824,471,46
825,359,171
826,41,49
827,363,185
828,561,163
829,51,115
830,288,90
831,278,99
832,639,127
833,213,194
834,249,184
835,300,58
836,427,130
837,130,63
838,333,101
839,220,140
840,650,139
841,111,48
842,572,111
843,164,42
844,691,104
845,410,15
846,465,43
847,694,18
848,482,84
849,461,40
850,182,127
851,92,83
852,416,81
853,405,161
854,260,165
855,479,137
856,19,18
857,355,81
858,489,171
859,389,45
860,96,23
861,681,95
862,130,128
863,101,41
864,165,20
865,462,153
866,118,84
867,6,34
868,71,120
869,349,73
870,130,77
871,468,183
872,13,81
873,552,17
874,134,115
875,381,130
876,28,115
877,440,29
878,372,73
879,611,15
880,171,180
881,674,164
882,211,67
883,110,62
884,316,60
885,164,195
886,23,97
887,680,50
888,65,165
889,631,61
890,330,24
891,544,104
892,10,32
893,260,179
894,497,85
895,19,78
896,634,56
897,483,140
898,111,184
899,380,54
900,478,167
901,324,169
902,93,79
903,569,194
904,44,149
905,695,100
906,102,162
907,682,191
908,346,179
909,396,151
910,496,195
911,572,89
912,266,107
913,267,95
914,254,92
915,694,153
916,381,178
917,1,176
918,95,176
919,19,31
920,606,16
921,340,109
922,521,98
923,536,96
924,551,179
925,314,74
926,236,33
927,239,138
928,259,76
929,171,104
930,512,57
931,395,167
932,33,155
933,276,124
934,485,190
935,595,90
936,559,100
937,557,86
938,451,21
939,355,64
940,202,80
941,522,130
942,375,139
943,695,62
944,566,140
945,317,26
946,598,26
947,45,52
948,375,105
949,213,115
950,410,163
951,202,181
952,88,122
953,499,69
954,286,90
955,229,62
956,581,193
957,215,169
958,234,109
959,589,65
960,196,33
961,412,165
962,342,44
963,159,181
964,273,73
965,136,173
966,445,184
967,651,188
968,688,168
969,50,172
970,636,199
971,688,146
972,398,104
973,246,144
974,206,64
975,257,177
976,627,150
977,313,161
978,492,66
979,228,17
980,115,140
981,28,181
982,199,31
983,13,193
984,684,114
985,103,102
986,698,129
987,670,149
988,688,165
989,675,174
990,576,149
991,277,198
992,144,43
993,144,32
994,127,189
995,342,158
996,236,163
997,542,87
998,536,54
999,208,173
